userId,history_len,drift,focus,maturity,freshness,w_ncf,w_tr,w_gen,static_rank,damr_rank,static_hit,damr_hit,static_ndcg,damr_ndcg
11242,227,0.0756,0.2029,1.0,0.8119,0.6617414951324463,0.24181139469146729,0.09644702821969986,34,49,0,0,0.0,0.0
10236,34,0.175,0.5308,0.6704,0.2662,0.5309101343154907,0.25776177644729614,0.21132808923721313,33,12,0,0,0.0,0.0
11427,26,0.2538,0.2956,0.6144,0.1653,0.49014201760292053,0.3086469769477844,0.20121102035045624,25,30,0,0,0.0,0.0
22423,28,0.2366,0.4776,0.6283,0.1889,0.4887460172176361,0.2906692326068878,0.22058473527431488,69,8,0,1,0.0,0.31546487678572877
2576,388,0.0374,0.1715,1.0,0.888,0.6808105111122131,0.22781343758106232,0.09137601405382156,60,42,0,0,0.0,0.0
1743,19,0.1913,0.536,0.5649,0.0936,0.5001202821731567,0.2521896958351135,0.24768990278244019,31,20,0,0,0.0,0.0
38327,65,0.0917,0.4633,0.7871,0.495,0.6065088510513306,0.22987423837184906,0.16361699998378754,80,68,0,0,0.0,0.0
38664,23,0.2169,0.4265,0.5741,0.1054,0.49625054001808167,0.273618221282959,0.23013128340244293,57,65,0,0,0.0,0.0
17695,21,0.0985,0.4795,0.5829,0.1173,0.5671900510787964,0.20665434002876282,0.22615563869476318,13,28,0,0,0.0,0.0
14087,337,0.0454,0.2728,1.0,0.8641,0.6727091670036316,0.2281985580921173,0.09909232705831528,29,7,0,1,0.0,0.3333333333333333
35105,30,0.1078,0.3866,0.6413,0.2119,0.582033097743988,0.22128917276859283,0.19667771458625793,58,67,0,0,0.0,0.0
1875,64,0.1852,0.3382,0.772,0.4664,0.551984429359436,0.2887331247329712,0.15928241610527039,24,29,0,0,0.0,0.0
32850,81,0.0553,0.353,0.8263,0.5657,0.6429569721221924,0.21692480146884918,0.14011825621128082,14,17,0,0,0.0,0.0
19272,33,0.3695,0.5286,0.5741,0.1054,0.3886162340641022,0.3655289113521576,0.24585485458374023,57,2,0,1,0.0,0.6309297535714575
37370,140,0.1274,0.2706,0.9235,0.7129,0.613616943359375,0.2692805826663971,0.11710252612829208,93,65,0,0,0.0,0.0
31963,178,0.0709,0.2187,0.9695,0.7674,0.6607356071472168,0.23695890605449677,0.10230543464422226,66,49,0,0,0.0,0.0
41537,296,0.0559,0.1711,1.0,0.8553,0.6720352172851562,0.23525825142860413,0.0927066057920456,4,9,1,1,0.43067655807339306,0.3010299956639812
39708,22,0.1204,0.4377,0.5741,0.1054,0.5561144948005676,0.21873855590820312,0.22514693439006805,14,5,0,1,0.0,0.38685280723454163
19779,130,0.0435,0.1821,0.9119,0.6977,0.6723576784133911,0.22001232206821442,0.10763000696897507,78,13,0,0,0.0,0.0
36598,46,0.2313,0.2944,0.7136,0.3512,0.5174035429954529,0.31098854541778564,0.1716078817844391,58,79,0,0,0.0,0.0
4743,74,0.1498,0.369,0.7782,0.4782,0.5745604038238525,0.2660830020904541,0.15935657918453217,38,7,0,1,0.0,0.3333333333333333
3832,44,0.1793,0.2184,0.7092,0.3425,0.558293342590332,0.279252827167511,0.1624537855386734,57,31,0,0,0.0,0.0
10541,113,0.1669,0.1855,0.8776,0.6488,0.5853143334388733,0.2944302260875702,0.12025542557239532,22,45,0,0,0.0,0.0
29190,77,0.1279,0.234,0.8215,0.5574,0.603373646736145,0.26216384768486023,0.13446253538131714,23,77,0,0,0.0,0.0
27666,147,0.0755,0.2447,0.9291,0.72,0.6505934596061707,0.2380302995443344,0.11137623339891434,1,1,1,1,1.0,1.0
38585,18,0.3049,0.6576,0.545,0.0709,0.4127003848552704,0.3104288876056671,0.2768707573413849,89,67,0,0,0.0,0.0
30732,136,0.1433,0.27,0.8665,0.6318,0.5955935120582581,0.27548453211784363,0.1289219856262207,9,15,1,0,0.3010299956639812,0.0
13591,180,0.1763,0.2054,0.9651,0.7626,0.5882959961891174,0.3053025007247925,0.10640145093202591,66,66,0,0,0.0,0.0
41029,60,0.0658,0.3037,0.7377,0.3992,0.6290780305862427,0.2138892561197281,0.15703272819519043,16,28,0,0,0.0,0.0
9522,126,0.0429,0.1967,0.9074,0.6915,0.671308159828186,0.21918174624443054,0.1095101609826088,5,9,1,1,0.38685280723454163,0.3010299956639812
20802,31,0.1256,0.3714,0.6535,0.2342,0.5742095112800598,0.2331908792257309,0.1925995796918869,44,36,0,0,0.0,0.0
21241,55,0.2496,0.5224,0.4837,0.0235,0.44413918256759644,0.2810186445713043,0.27484217286109924,45,65,0,0,0.0,0.0
22959,68,0.0902,0.2426,0.7842,0.4895,0.6236603856086731,0.23490683734416962,0.14143285155296326,68,84,0,0,0.0,0.0
36593,203,0.0416,0.2098,1.0,0.7985,0.6844209432601929,0.22026164829730988,0.09531737118959427,54,2,0,1,0.0,0.6309297535714575
8677,154,0.0821,0.1686,0.9345,0.7268,0.6512808203697205,0.2437916249036789,0.10492753237485886,67,22,0,0,0.0,0.0
36976,36,0.0813,0.2651,0.6704,0.2662,0.613726794719696,0.21465732157230377,0.17161589860916138,23,5,0,1,0.0,0.38685280723454163
33933,77,0.0612,0.2948,0.8166,0.5488,0.6421921849250793,0.2206616848707199,0.13714607059955597,55,67,0,0,0.0,0.0
6975,22,0.2646,0.3736,0.5912,0.1293,0.4728121757507324,0.30826544761657715,0.21892237663269043,31,88,0,0,0.0,0.0
21226,23,0.3838,0.6307,0.5912,0.1293,0.37458401918411255,0.3706577718257904,0.2547582685947418,85,39,0,0,0.0,0.0
16104,105,0.0974,0.2696,0.8793,0.6514,0.6281863451004028,0.2478143572807312,0.12399929761886597,79,59,0,0,0.0,0.0
30878,26,0.1022,0.5601,0.6215,0.1771,0.5650050044059753,0.2095867097377777,0.22540833055973053,77,64,0,0,0.0,0.0
8060,58,0.0671,0.2781,0.7656,0.4541,0.633617103099823,0.2187255620956421,0.14765726029872894,34,49,0,0,0.0,0.0
17859,19,0.1109,0.4277,0.545,0.0709,0.5559588074684143,0.21207229793071747,0.23196887969970703,59,46,0,0,0.0,0.0
29827,212,0.1199,0.2526,0.8721,0.6405,0.613301694393158,0.26156166195869446,0.1251366138458252,7,8,1,1,0.3333333333333333,0.31546487678572877
40834,24,0.4042,0.3806,0.5993,0.1413,0.3803304433822632,0.40448856353759766,0.21518099308013916,12,7,0,1,0.0,0.3333333333333333
9378,152,0.0745,0.2466,0.9473,0.7423,0.6536648869514465,0.23803739249706268,0.10829770565032959,88,23,0,0,0.0,0.0
6393,23,0.0375,0.3702,0.5993,0.1413,0.6179012060165405,0.18208280205726624,0.200016051530838,57,53,0,0,0.0,0.0
3117,383,0.0429,0.2022,1.0,0.8866,0.6758896112442017,0.23036909103393555,0.0937412828207016,84,74,0,0,0.0,0.0
19295,47,0.0961,0.3715,0.7002,0.3247,0.5996727347373962,0.2233940213918686,0.17693334817886353,28,21,0,0,0.0,0.0
25509,41,0.2209,0.3714,0.6908,0.306,0.5164539813995361,0.29667559266090393,0.18687039613723755,24,7,0,1,0.0,0.3333333333333333
27825,56,0.0686,0.2655,0.759,0.4412,0.6328511834144592,0.21907153725624084,0.14807727932929993,17,40,0,0,0.0,0.0
16535,60,0.2194,0.2683,0.7656,0.4541,0.5322470664978027,0.3131025433540344,0.15465034544467926,8,15,1,0,0.31546487678572877,0.0
10645,210,0.0835,0.1726,1.0,0.8029,0.6589390635490417,0.2462048977613449,0.09485600888729095,87,31,0,0,0.0,0.0
21757,47,0.1614,0.3567,0.73,0.3839,0.5622809529304504,0.2663429081439972,0.17137610912322998,81,10,0,1,0.0,0.2890648263178879
