userId,history_len,drift,focus,maturity,freshness,w_ncf,w_tr,w_gen,static_rank,damr_rank,static_hit,damr_hit,static_ndcg,damr_ndcg
15670,391,0.0297,0.1787,1.0,0.8539,0.6884357333183289,0.2196982204914093,0.09186599403619766,75,86,0,0,0.0,0.0
26817,52,0.3824,0.2498,0.7377,0.3992,0.41422340273857117,0.4265410006046295,0.15923553705215454,89,84,0,0,0.0,0.0
7865,36,0.1886,0.3968,0.6704,0.2662,0.53357994556427,0.2716873586177826,0.19473272562026978,99,96,0,0,0.0,0.0
37465,28,0.1262,0.3333,0.6349,0.2005,0.574210524559021,0.23243698477745056,0.19335250556468964,19,79,0,0,0.0,0.0
16408,92,0.1685,0.3901,0.8355,0.5815,0.5668464303016663,0.2848268449306488,0.14832672476768494,86,30,0,0,0.0,0.0
38018,340,0.0685,0.2356,1.0,0.8743,0.6587303280830383,0.24376074969768524,0.09750885516405106,29,25,0,0,0.0,0.0
39101,49,0.0781,0.3917,0.7377,0.3992,0.614333987236023,0.21806466579437256,0.16760125756263733,47,80,0,0,0.0,0.0
2495,81,0.154,0.4552,0.7002,0.3247,0.5554568767547607,0.25340625643730164,0.19113689661026,30,41,0,0,0.0,0.0
40689,18,0.2301,0.4633,0.5342,0.0601,0.4753742516040802,0.27580535411834717,0.24882040917873383,4,17,1,0,0.43067655807339306,0.0
5394,20,0.3068,0.5612,0.5741,0.1054,0.4261980354785919,0.32188910245895386,0.25191283226013184,89,89,0,0,0.0,0.0
27864,298,0.0159,0.1775,1.0,0.8475,0.6975951790809631,0.2113111913204193,0.09109362959861755,32,66,0,0,0.0,0.0
38359,19,0.3224,0.4067,0.5649,0.0936,0.42707520723342896,0.3407479524612427,0.2321767956018448,93,33,0,0,0.0,0.0
37206,18,0.5306,0.4286,0.545,0.0709,0.29062023758888245,0.48164165019989014,0.2277381420135498,2,5,1,1,0.6309297535714575,0.38685280723454163
34442,38,0.1863,0.3325,0.6649,0.2557,0.5396547317504883,0.27205997705459595,0.18828533589839935,71,79,0,0,0.0,0.0
21073,540,0.0522,0.2443,1.0,0.9182,0.6647548079490662,0.2385505586862564,0.09669457376003265,1,1,1,1,1.0,1.0
17416,41,0.0683,0.2563,0.6859,0.2963,0.6246435642242432,0.20994259417057037,0.1654137820005417,70,12,0,0,0.0,0.0
13611,41,0.1545,0.2903,0.7048,0.3337,0.5691145658493042,0.26053959131240845,0.17034587264060974,41,26,0,0,0.0,0.0
20922,29,0.2857,0.4,0.6349,0.2005,0.4632608890533447,0.3277212381362915,0.2090177983045578,10,42,1,0,0.2890648263178879,0.0
15900,133,0.0713,0.2357,0.9164,0.7036,0.6521266102790833,0.23518483340740204,0.11268854886293411,32,10,0,1,0.0,0.2890648263178879
17733,23,0.1029,0.4108,0.5912,0.1293,0.5732361078262329,0.2122172862291336,0.2145465463399887,86,80,0,0,0.0,0.0
